
Probability is now 0.1
0 (2, 0.030055522918701172)
1 (2, 0.03521275520324707)
2 (2, 0.04016876220703125)
3 (2, 0.045014381408691406)
4 (2, 0.05384230613708496)
5 (3, 0.0649712085723877)
6 (2, 0.0502166748046875)
7 (2, 0.04235982894897461)
8 (2, 0.04694986343383789)
9 (2, 0.04854393005371094)

Probability is now 0.2
0 (2, 0.04790639877319336)
1 (3, 0.07152652740478516)
2 (2, 0.05474567413330078)
3 (3, 0.06521821022033691)
4 (2, 0.04943394660949707)
5 (3, 0.06999015808105469)
6 (2, 0.04790616035461426)
7 (2, 0.04582977294921875)
8 (2, 0.05249619483947754)
9 (3, 0.07980728149414062)

Probability is now 0.30000000000000004
0 (3, 0.06614089012145996)
1 (3, 0.06654596328735352)
2 (4, 0.10769009590148926)
3 (3, 0.06420183181762695)
4 (2, 0.043859004974365234)
5 (3, 0.07173800468444824)
6 (3, 0.06196951866149902)
7 (3, 0.0639181137084961)
8 (3, 0.07497119903564453)
9 (2, 0.06897091865539551)

Probability is now 0.4
0 (4, 0.09131407737731934)
1 (4, 0.08033394813537598)
2 (3, 0.06935954093933105)
3 (3, 0.06307506561279297)
4 (4, 0.09220743179321289)
5 (3, 0.0709986686706543)
6 (3, 0.06485319137573242)
7 (4, 0.06485223770141602)
8 (4, 0.0657494068145752)
9 (4, 0.059502363204956055)

Probability is now 0.5
0 (3, 0.0537416934967041)
1 (4, 0.05599260330200195)
2 (3, 0.040895700454711914)
3 (4, 0.06387805938720703)
4 (5, 0.10476493835449219)
5 (4, 0.09077095985412598)
6 (5, 0.11303234100341797)
7 (4, 0.08719682693481445)
8 (4, 0.10491013526916504)
9 (5, 0.12603449821472168)

Probability is now 0.6
0 (5, 0.16216588020324707)
1 (4, 0.09442687034606934)
2 (4, 0.09630870819091797)
3 (5, 0.13155722618103027)
4 (4, 0.09772276878356934)
5 (5, 0.11115622520446777)
6 (6, 0.16555023193359375)
7 (4, 0.08726978302001953)
8 (4, 0.08424758911132812)
9 (4, 0.1076664924621582)

Probability is now 0.7000000000000001
0 (4, 0.09343862533569336)
1 (5, 0.10732579231262207)
2 (6, 0.14632058143615723)
3 (4, 0.08917093276977539)
4 (5, 0.10832548141479492)
5 (4, 0.08994245529174805)
6 (6, 0.1439042091369629)
7 (6, 0.14331865310668945)
8 (5, 0.11543560028076172)
9 (4, 0.09221720695495605)

Probability is now 0.8
0 (5, 0.17467999458312988)
1 (7, 0.5043673515319824)
2 (5, 0.1641077995300293)
3 (6, 0.17664861679077148)
4 (5, 0.1249237060546875)
5 (6, 0.15475845336914062)
6 (5, 0.12795782089233398)
7 (6, 0.1458141803741455)
8 (6, 0.1502218246459961)
9 (7, 0.18477249145507812)

Probability is now 0.9
0 (7, 0.17121028900146484)
1 (9, 0.4783954620361328)
2 (7, 0.1767416000366211)
3 (6, 0.15580344200134277)
4 (9, 0.5513763427734375)
5 (8, 0.26186561584472656)
6 (8, 0.2644975185394287)
7 (6, 0.15626764297485352)
8 (7, 0.1787090301513672)
9 (8, 0.2680220603942871)
